grande;big;large;
salir;exit;leave;
regalo;present;gift;
similar;same;alike;
roca;stone;rock;
ultimo;last;final;
facil;easy;simple;
falso;false;untrue;
sobre;above;over;
dificil;difficult;hard;
escribir;write;record;
error;mistake;error;
ocurrir;occur;happen;
viaje;trip;journey;
triste;sad;unhappy;
bueno;good;fine;
trabajo;job;occupation;
bebe;baby;infant;
seleccionar;select;choose;
correcto;correct;accurate;
siempre;always;forever;
unir;connect;join;
aclara;clarify;explain;
hablar;speak;talk;
rapido;fast;quick;
enfermo;ill;sick;
cerca;near;close;
empezar;start;begin;
aumentar;raise;lift;
debajo;under;below;
enfadado;angry;mad;
unico;one;single;
agarrar;keep;hold;
terminar;end;finish;
respeto;respect;honor;
recibir;get;receive;
contento;glad;happy;
verdadero;true;correct;
viejo;old;ancient;
rico;rich;wealthy;
seguro;safe;secure;
asustado;afraid;scare;
llegar;arrive;reach;
cuidado;care;protection;
daño;damage;hurt;
actuar;act;behave;
todo;all;every;
admitir;admit;confess;
coche;auto;car;
pequeño;small;tiny;
parar;stop;cease;
descansar;chill;relax;
gritar;shout;yell;
extrano;strange;odd;
bolsa;sack;bag;
lejos;far;distant;
divertido;funny;amusing;
inteligente;clever;smart;
escuchar;listen;hear;
mama;mother;mom;
conejo;bunny;rabbit;
bonito;beautiful;pretty;
casa;house;home;
basura;garbage;trash;
mujer;woman;lady;
cerrar;shut;close;
propio;own;possess;
tienda;shop;store;
cubo;bucket;pail;
mirar;see;look;
caliente;hot;cop;
salto;leap;jump;
cocinero;chef;cook;
accidente;crash;accident;
calle;street;road;
respuesta;reply;answer;
malvada;evil;bad;
olfatear;sniff;smell;
sofa;couch;sofa;
tirar;pull;tug;
correr;jog;run;
padre;father;dad;
cansado;tired;sleepy;
caja;crate;box;
taxi;taxi;crab;
ayuda;aid;help;
aprobar;approve;accept;
base;bottom;base;
conectar;link;join;
vestir;wear;dress;
feliz;happy;glad;
triste;sad;unhappy;
enfadado;angry;mad;
asustado;scared;afraid;
emocionado;excited;euphoric;
tierno;tender;loving;
confundido;confused:disoriented;
preocupado;worried;disturbed;
sorprendido;surprised;amazed;
satisfecho;satisfied;happy;
confiado;confident;fearless;
